Name,Lat,Long,Confirmed,Deaths,Mortality,,
Somalia,5.152149,46.199616,3465,121,3,Somalia,121
South Africa,-30.559482,22.937506,665188,23451,3,South Africa,"23,451"
South Korea,35.907757,127.766922,23341,600,3,South Korea,600
Spain,40.463667,-3.74922,693556,48013,5,Spain,"48,013"
Sri Lanka,7.873054,80.771797,3324,154,3,Sri Lanka,154
Sudan,12.862807,30.217636,13578,1355,5,Sudan,"1,355"
Suriname,3.919305,-56.027783,4779,117,3,Suriname,117
Sweden,60.128161,18.643501,89756,7667,5,Sweden,"7,667"
Switzerland,46.818188,8.227512,51101,6185,5,Switzerland,"6,185"
Syria,34.802075,38.996815,3924,530,5,Syria,530
Taiwan,23.69781,120.960515,509,7,3,Taiwan,7
Tajikistan,38.861034,71.276093,9475,88,3,Tajikistan,88
Tanzania,-6.369028,34.888822,509,21,5,Tanzania,21
Thailand,15.870032,100.992541,3516,60,3,Thailand,60
Timor-Leste,-8.874217,125.727539,27,0,3,Timor-Leste,0
Togo,8.619543,0.824782,1701,66,3,Togo,66
Trinidad and Tobago,10.691803,-61.222503,4136,123,3,Trinidad and Tobago,123
Tunisia,33.886917,9.537499,12479,3915,3,Tunisia,"3,915"
Turkey,38.963745,35.243322,308069,16881,3,Turkey,"16,881"
Uganda,1.373333,32.290275,6879,225,3,Uganda,225
Ukraine,48.379433,31.16558,189488,16038,3,Ukraine,"16,038"
United Arab Emirates,23.424076,53.847818,87530,622,3,United Arab Emirates,622
United Kingdom,55.3781,3.436,"1,888,116",64908,3,,
United States,37.09024,-95.712891,6933548,301532,3,United States,"301,532"
Uruguay,-32.522779,-55.765835,1946,95,3,Uruguay,95
Uzbekistan,41.377491,64.585262,53275,612,3,Uzbekistan,612
Venezuela,6.42375,-66.58973,69439,960,3,Venezuela,960
Vietnam,14.058324,108.277199,1069,35,5,Vietnam,35
Western Sahara,24.215527,-12.885834,10,1,7,Western Sahara,1
Yemen,15.552727,48.516388,2029,606,7,Yemen,606
Zambia,-13.133897,27.849332,14443,367,3,Zambia,367
Zimbabwe,-19.015438,29.154857,7725,309,3,Zimbabwe,309
